timestamp,machine_id,rpm,vibration_mms,temperature_c,pressure_bar,output_units_per_hr,power_kw,anomaly
2024-03-01 00:00:00,MCH1_001,1471.1,3.09,73.64,5.756,316.7,59.79,0
2024-03-01 01:00:00,MCH1_001,1435.7,2.214,70.34,5.89,315.2,51.23,0
2024-03-01 02:00:00,MCH1_001,1454.8,3.578,88.21,5.563,281.2,57.29,1
2024-03-01 03:00:00,MCH1_001,1502.3,2.286,81.91,6.674,306.0,48.58,0
2024-03-01 04:00:00,MCH1_001,1582.9,1.897,84.12,6.255,320.9,60.3,0
2024-03-01 05:00:00,MCH1_001,1405.0,2.392,78.42,6.161,309.5,54.79,0
2024-03-01 06:00:00,MCH1_001,1429.8,2.194,76.67,5.847,279.4,51.97,0
2024-03-01 07:00:00,MCH1_001,1436.1,2.434,77.65,5.956,322.6,50.62,0
2024-03-01 08:00:00,MCH1_001,1477.4,1.348,77.39,5.475,302.3,56.78,0
2024-03-01 09:00:00,MCH1_001,1462.6,2.453,75.89,6.054,280.1,54.82,0
2024-03-01 10:00:00,MCH1_002,1468.3,2.533,75.92,6.773,298.2,61.87,0
2024-03-01 11:00:00,MCH1_002,1520.1,2.697,77.74,6.03,299.5,51.29,0
2024-03-01 12:00:00,MCH1_002,1517.6,3.045,74.44,6.178,283.8,52.47,0
2024-03-01 13:00:00,MCH1_002,1517.2,1.969,76.1,5.791,297.9,57.47,0
2024-03-01 14:00:00,MCH1_002,1570.8,2.654,72.01,5.638,315.7,52.45,0
2024-03-01 15:00:00,MCH1_002,1493.5,2.518,78.21,6.395,308.8,52.36,0
2024-03-01 16:00:00,MCH1_002,1469.1,2.475,79.24,6.476,279.5,52.86,0
2024-03-01 17:00:00,MCH1_002,1516.0,1.785,76.67,5.93,312.2,50.13,0
2024-03-01 18:00:00,MCH1_002,1533.3,3.211,67.67,5.974,298.2,62.72,0
2024-03-01 19:00:00,MCH1_002,1418.8,2.024,76.12,6.04,298.4,51.39,0
2024-03-01 20:00:00,MCH1_003,1481.0,2.101,75.99,6.683,330.9,50.57,0
2024-03-01 21:00:00,MCH1_003,932.5,2.012,86.15,5.849,314.1,56.44,1
2024-03-01 22:00:00,MCH1_003,1450.3,3.002,78.04,6.046,317.0,58.42,0
