timestamp,machine_id,rpm,vibration_mms,temperature_c,pressure_bar,output_units_per_hr,power_kw,anomaly
2024-03-01 00:00:00,MCH3_001,1526.1,2.423,72.91,6.359,286.7,51.25,0
2024-03-01 01:00:00,MCH3_001,1578.3,2.617,73.39,6.076,301.7,56.29,0
2024-03-01 02:00:00,MCH3_001,1488.0,2.666,93.95,5.677,309.6,50.58,1
2024-03-01 03:00:00,MCH3_001,1487.5,3.125,72.06,5.984,308.2,61.53,0
2024-03-01 04:00:00,MCH3_001,1498.4,2.751,74.73,6.094,276.9,50.61,0
2024-03-01 05:00:00,MCH3_001,1505.8,2.634,77.77,5.379,309.4,52.63,0
2024-03-01 06:00:00,MCH3_001,1537.3,1.851,81.98,5.518,295.7,56.28,0
2024-03-01 07:00:00,MCH3_001,1528.5,2.247,70.7,5.976,302.6,58.09,0
2024-03-01 08:00:00,MCH3_001,1485.0,1.716,70.2,6.104,301.1,43.74,0
2024-03-01 09:00:00,MCH3_001,1057.1,1.788,76.86,5.939,300.4,55.07,1
2024-03-01 10:00:00,MCH3_002,1609.0,2.121,73.39,6.37,289.3,53.78,0
2024-03-01 11:00:00,MCH3_002,1519.1,2.989,76.42,5.888,296.3,55.53,0
2024-03-01 12:00:00,MCH3_002,1487.5,2.87,84.46,5.645,304.2,51.79,0
2024-03-01 13:00:00,MCH3_002,1494.8,2.387,80.16,5.809,308.5,55.19,0
2024-03-01 14:00:00,MCH3_002,1444.0,2.193,74.02,6.618,267.8,56.03,0
2024-03-01 15:00:00,MCH3_002,1365.1,2.389,65.58,6.012,254.2,62.02,1
2024-03-01 16:00:00,MCH3_002,1556.1,1.949,74.35,5.736,296.8,62.41,0
2024-03-01 17:00:00,MCH3_002,1466.3,1.653,76.5,5.997,263.6,51.19,0
2024-03-01 18:00:00,MCH3_002,1520.7,1.735,74.81,5.672,316.3,57.52,0
2024-03-01 19:00:00,MCH3_002,1424.7,3.27,74.07,5.507,287.7,61.45,0
2024-03-01 20:00:00,MCH3_003,1400.6,3.531,75.31,5.775,280.4,45.72,0
2024-03-01 21:00:00,MCH3_003,1520.6,2.449,74.95,6.218,325.6,51.72,0
2024-03-01 22:00:00,MCH3_003,1455.5,1.549,68.8,6.745,311.1,54.7,0
2024-03-01 23:00:00,MCH3_003,1496.8,1.525,62.7,5.509,309.8,46.0,0
2024-03-02 00:00:00,MCH3_003,1611.7,1.46,69.18,5.868,286.4,53.25,0
2024-03-02 01:00:00,MCH3_003,1495.1,1.743,76.36,5.549,282.6,63.46,0
2024-03-02 02:00:00,MCH3_003,1408.5,2.366,75.9,6.365,272.0,59.56,0
2024-03-02 03:00:00,MCH3_003,1409.2,2.772,77.56,5.842,335.5,55.03,0
2024-03-02 04:00:00,MCH3_003,1511.9,2.652,78.54,5.908,269.0,60.19,0
2024-03-02 05:00:00,MCH3_003,1504.3,2.4,77.49,6.039,313.6,62.95,0
2024-03-02 06:00:00,MCH3_004,1549.9,2.341,71.82,6.317,294.6,51.0,0
2024-03-02 07:00:00,MCH3_004,1439.9,2.79,113.79,6.075,322.5,56.51,1
2024-03-02 08:00:00,MCH3_004,1497.9,3.066,77.48,5.361,302.6,49.8,0
2024-03-02 09:00:00,MCH3_004,1572.1,2.261,79.89,5.987,332.8,53.04,0
2024-03-02 10:00:00,MCH3_004,1531.4,2.705,78.43,5.506,316.2,57.72,0
2024-03-02 11:00:00,MCH3_004,1456.7,2.585,67.62,5.797,273.7,57.08,0
2024-03-02 12:00:00,MCH3_004,1437.6,2.085,80.85,6.084,311.5,56.33,0
2024-03-02 13:00:00,MCH3_004,1519.6,1.913,74.39,5.698,317.8,59.06,0
