timestamp,server_id,cpu_pct,memory_pct,disk_io_mbps,network_latency_ms,error_rate_pct,requests_per_sec,anomaly
2024-02-01 00:00:00,SRV1_001,76.52,52.13,144.17,31.11,0.081,480.6,1
2024-02-01 01:00:00,SRV1_001,46.37,57.92,144.18,34.75,0.112,559.6,0
2024-02-01 02:00:00,SRV1_001,42.83,58.14,114.84,42.79,0.311,606.0,0
2024-02-01 03:00:00,SRV1_001,42.46,58.25,108.98,34.53,0.658,442.3,0
2024-02-01 04:00:00,SRV1_001,49.23,41.45,116.42,30.93,0.219,534.0,0
2024-02-01 05:00:00,SRV1_001,43.44,54.77,105.44,36.7,0.266,377.9,0
2024-02-01 06:00:00,SRV1_001,48.51,62.76,101.96,37.37,0.208,491.2,0
2024-02-01 07:00:00,SRV1_001,54.27,57.58,94.98,44.33,0.83,459.4,0
2024-02-01 08:00:00,SRV1_002,49.26,56.31,115.07,26.89,0.312,595.6,0
2024-02-01 09:00:00,SRV1_002,48.93,62.86,128.15,45.68,0.494,566.5,0
2024-02-01 10:00:00,SRV1_002,65.69,60.6,122.03,45.64,0.195,509.4,0
2024-02-01 11:00:00,SRV1_002,45.42,70.07,101.36,28.02,0.543,483.1,0
2024-02-01 12:00:00,SRV1_002,64.09,63.59,100.99,21.77,29.887,628.8,1
2024-02-01 13:00:00,SRV1_002,49.33,65.55,103.53,24.48,0.154,466.2,0
2024-02-01 14:00:00,SRV1_002,43.28,61.66,122.05,27.98,0.945,433.3,0
2024-02-01 15:00:00,SRV1_002,55.36,63.58,148.53,45.99,0.352,554.5,0
2024-02-01 16:00:00,SRV1_003,57.16,63.72,144.33,33.73,0.91,550.4,0
2024-02-01 17:00:00,SRV1_003,42.17,51.87,128.94,29.93,0.127,461.9,0
2024-02-01 18:00:00,SRV1_003,28.84,60.29,83.67,35.21,0.663,470.8,0
2024-02-01 19:00:00,SRV1_003,53.24,66.05,129.47,102.42,0.61,580.0,1
2024-02-01 20:00:00,SRV1_003,44.02,59.08,124.91,41.2,0.564,450.2,0
2024-02-01 21:00:00,SRV1_003,60.21,60.47,102.56,45.79,0.446,490.3,0
2024-02-01 22:00:00,SRV1_003,37.16,70.17,150.89,27.81,0.29,445.5,0
2024-02-01 23:00:00,SRV1_003,36.21,58.34,124.38,26.92,0.473,386.2,0
2024-02-02 00:00:00,SRV1_004,40.04,69.08,127.89,46.75,0.692,380.5,0
2024-02-02 01:00:00,SRV1_004,44.52,61.98,147.92,33.85,0.714,434.7,0
2024-02-02 02:00:00,SRV1_004,56.0,49.96,115.18,28.32,0.804,512.2,0
2024-02-02 03:00:00,SRV1_004,21.57,65.84,123.58,41.64,0.901,568.2,0
2024-02-02 04:00:00,SRV1_004,42.89,60.62,96.59,36.02,0.75,626.6,0
2024-02-02 05:00:00,SRV1_004,45.89,55.61,145.75,24.28,0.917,465.8,0
2024-02-02 06:00:00,SRV1_004,29.7,63.2,118.2,34.9,0.917,462.3,0
2024-02-02 07:00:00,SRV1_004,41.99,60.51,90.91,33.49,0.349,572.8,0
2024-02-02 08:00:00,SRV1_005,42.18,64.72,117.08,41.92,0.36,510.9,0
2024-02-02 09:00:00,SRV1_005,58.9,61.07,106.45,34.52,0.345,542.4,0
2024-02-02 10:00:00,SRV1_005,43.44,65.86,144.85,39.77,0.328,555.1,0
2024-02-02 11:00:00,SRV1_005,42.86,56.62,139.9,37.8,0.674,572.9,0
2024-02-02 12:00:00,SRV1_005,40.67,49.48,105.9,48.63,0.397,413.0,0
2024-02-02 13:00:00,SRV1_005,45.4,51.05,144.76,45.79,0.795,467.4,0
2024-02-02 14:00:00,SRV1_005,42.23,51.33,121.63,40.66,0.767,436.3,0
2024-02-02 15:00:00,SRV1_005,40.39,48.75,129.98,18.94,0.429,504.3,0
2024-02-02 16:00:00,SRV1_006,39.06,61.18,123.06,24.17,0.597,520.1,0
2024-02-02 17:00:00,SRV1_006,38.36,70.29,126.5,25.48,0.248,536.2,0
2024-02-02 18:00:00,SRV1_006,54.71,58.71,100.21,47.35,0.058,443.1,0
2024-02-02 19:00:00,SRV1_006,37.95,58.38,115.8,32.25,0.856,467.0,0
2024-02-02 20:00:00,SRV1_006,32.62,62.35,125.44,30.52,0.61,493.8,0
2024-02-02 21:00:00,SRV1_006,46.3,52.26,90.63,35.42,0.966,559.6,0
2024-02-02 22:00:00,SRV1_006,44.87,59.88,126.87,38.62,0.207,488.4,0
2024-02-02 23:00:00,SRV1_006,41.36,53.66,80.02,27.44,0.258,635.4,0
2024-02-03 00:00:00,SRV1_007,42.59,62.87,178.57,36.2,0.371,517.7,0
2024-02-03 01:00:00,SRV1_007,41.85,59.2,109.29,20.8,0.122,592.2,0
2024-02-03 02:00:00,SRV1_007,42.04,52.35,111.84,42.15,0.223,551.0,0
2024-02-03 03:00:00,SRV1_007,48.73,67.3,154.06,28.0,1.087,671.0,0
2024-02-03 04:00:00,SRV1_007,46.6,60.62,115.86,25.91,0.341,570.7,0
2024-02-03 05:00:00,SRV1_007,35.47,64.45,126.6,24.43,0.331,517.0,0
