timestamp,server_id,cpu_pct,memory_pct,disk_io_mbps,network_latency_ms,error_rate_pct,requests_per_sec,anomaly
2024-02-01 00:00:00,SRV3_001,59.22,56.42,97.08,19.39,0.267,448.0,0
2024-02-01 01:00:00,SRV3_001,47.15,70.34,126.49,33.65,0.136,609.8,0
2024-02-01 02:00:00,SRV3_001,35.05,48.45,140.96,33.2,0.524,546.2,0
2024-02-01 03:00:00,SRV3_001,37.81,69.04,138.08,52.67,0.359,486.2,0
2024-02-01 04:00:00,SRV3_001,44.29,53.12,109.04,32.22,0.26,540.7,0
2024-02-01 05:00:00,SRV3_001,49.76,58.32,106.21,25.84,0.532,505.1,0
2024-02-01 06:00:00,SRV3_001,48.39,53.86,125.86,46.85,0.647,539.2,0
2024-02-01 07:00:00,SRV3_001,46.24,58.13,109.92,43.55,0.41,455.6,0
2024-02-01 08:00:00,SRV3_002,40.26,55.91,106.56,55.14,1.01,539.5,0
2024-02-01 09:00:00,SRV3_002,58.49,44.76,125.09,47.89,0.96,451.8,0
2024-02-01 10:00:00,SRV3_002,39.42,74.0,130.04,32.54,0.797,508.1,0
2024-02-01 11:00:00,SRV3_002,39.23,66.5,148.99,40.62,0.363,633.1,0
2024-02-01 12:00:00,SRV3_002,52.24,64.06,130.28,19.5,1.16,546.7,0
2024-02-01 13:00:00,SRV3_002,35.44,55.97,77.6,36.88,0.636,604.9,0
2024-02-01 14:00:00,SRV3_002,32.24,72.0,148.14,43.39,0.684,454.7,0
2024-02-01 15:00:00,SRV3_002,46.67,62.37,106.04,42.14,0.641,489.9,0
2024-02-01 16:00:00,SRV3_003,39.81,61.83,117.43,29.09,0.721,541.0,0
2024-02-01 17:00:00,SRV3_003,52.74,71.69,129.95,10.72,0.438,477.2,0
2024-02-01 18:00:00,SRV3_003,34.56,67.64,117.12,35.41,0.614,520.5,0
2024-02-01 19:00:00,SRV3_003,47.09,70.51,142.78,34.27,0.454,474.9,0
2024-02-01 20:00:00,SRV3_003,60.58,60.0,116.9,38.95,0.284,584.5,0
2024-02-01 21:00:00,SRV3_003,32.13,66.96,91.03,44.13,0.577,427.9,0
2024-02-01 22:00:00,SRV3_003,27.07,56.41,100.62,24.08,0.616,584.8,0
2024-02-01 23:00:00,SRV3_003,44.65,59.22,103.57,37.26,0.881,519.1,0
2024-02-02 00:00:00,SRV3_004,44.29,73.37,128.9,37.09,0.265,649.0,0
2024-02-02 01:00:00,SRV3_004,40.88,54.93,166.27,40.52,0.706,471.8,0
2024-02-02 02:00:00,SRV3_004,36.35,60.42,177.41,20.58,0.218,455.6,0
2024-02-02 03:00:00,SRV3_004,47.63,60.61,144.78,47.24,0.535,531.4,0
2024-02-02 04:00:00,SRV3_004,42.23,72.74,97.7,39.76,0.471,586.7,0
2024-02-02 05:00:00,SRV3_004,59.13,55.91,130.35,33.37,0.621,581.0,0
2024-02-02 06:00:00,SRV3_004,35.34,49.96,93.39,30.5,0.321,497.4,0
2024-02-02 07:00:00,SRV3_004,47.3,52.41,134.7,33.65,0.453,573.3,0
2024-02-02 08:00:00,SRV3_005,42.94,63.03,149.21,27.51,0.825,585.4,0
2024-02-02 09:00:00,SRV3_005,52.03,59.27,153.36,30.83,0.762,551.4,0
2024-02-02 10:00:00,SRV3_005,46.57,56.64,104.83,117.86,0.452,546.7,1
2024-02-02 11:00:00,SRV3_005,37.93,64.71,117.13,14.04,0.105,484.1,0
2024-02-02 12:00:00,SRV3_005,45.96,60.79,108.41,34.6,0.705,541.8,0
2024-02-02 13:00:00,SRV3_005,40.83,38.59,116.01,29.16,0.135,440.7,0
2024-02-02 14:00:00,SRV3_005,48.54,50.99,116.59,43.34,1.078,455.6,0
2024-02-02 15:00:00,SRV3_005,60.23,44.88,105.58,38.84,0.603,513.1,0
2024-02-02 16:00:00,SRV3_006,46.75,62.37,118.95,24.84,0.11,505.5,0
2024-02-02 17:00:00,SRV3_006,28.82,59.29,96.14,36.23,1.128,498.4,0
2024-02-02 18:00:00,SRV3_006,28.62,48.26,119.19,22.34,0.353,404.5,0
2024-02-02 19:00:00,SRV3_006,62.74,55.47,137.9,28.3,0.183,448.0,0
2024-02-02 20:00:00,SRV3_006,53.98,53.42,121.23,38.12,0.692,439.0,0
2024-02-02 21:00:00,SRV3_006,37.99,65.33,153.56,46.57,0.501,574.7,0
2024-02-02 22:00:00,SRV3_006,42.46,66.35,127.53,47.74,0.309,482.4,0
2024-02-02 23:00:00,SRV3_006,33.36,48.3,141.75,36.97,0.244,453.2,0
2024-02-03 00:00:00,SRV3_007,40.57,66.58,162.02,35.54,0.61,551.7,0
2024-02-03 01:00:00,SRV3_007,55.35,64.88,125.85,38.38,0.326,502.8,0
2024-02-03 02:00:00,SRV3_007,38.32,64.12,108.58,37.21,0.554,473.3,0
2024-02-03 03:00:00,SRV3_007,49.92,66.36,102.73,96.84,0.637,471.0,1
2024-02-03 04:00:00,SRV3_007,43.76,61.77,95.53,18.16,1.329,457.1,0
2024-02-03 05:00:00,SRV3_007,29.87,60.34,143.22,44.58,0.557,440.5,0
2024-02-03 06:00:00,SRV3_007,47.43,90.47,154.23,31.27,0.693,539.2,1
2024-02-03 07:00:00,SRV3_007,50.1,52.57,117.92,34.42,0.258,506.1,0
2024-02-03 08:00:00,SRV3_008,33.05,51.29,126.28,41.0,0.676,531.0,0
2024-02-03 09:00:00,SRV3_008,34.77,63.9,121.9,31.35,0.449,418.2,0
2024-02-03 10:00:00,SRV3_008,72.91,56.71,134.73,40.56,0.471,538.8,1
2024-02-03 11:00:00,SRV3_008,54.71,62.58,110.16,45.63,0.532,553.9,0
2024-02-03 12:00:00,SRV3_008,72.01,54.64,118.04,41.44,0.315,550.3,1
2024-02-03 13:00:00,SRV3_008,40.3,54.04,116.43,41.33,0.25,460.5,0
2024-02-03 14:00:00,SRV3_008,42.54,63.36,105.22,24.41,0.52,468.6,0
2024-02-03 15:00:00,SRV3_008,44.41,49.34,108.32,31.39,0.435,578.4,0
2024-02-03 16:00:00,SRV3_009,35.68,52.11,170.82,40.36,0.913,426.3,0
2024-02-03 17:00:00,SRV3_009,64.41,71.08,107.58,30.39,0.001,516.4,0
2024-02-03 18:00:00,SRV3_009,52.23,65.99,109.93,18.62,0.534,384.1,0
2024-02-03 19:00:00,SRV3_009,35.61,68.41,135.84,40.76,0.137,507.9,0
2024-02-03 20:00:00,SRV3_009,48.99,65.55,136.2,33.66,0.602,494.2,0
2024-02-03 21:00:00,SRV3_009,49.61,51.41,96.49,33.05,0.787,529.2,0
2024-02-03 22:00:00,SRV3_009,34.45,66.96,120.45,35.65,21.069,464.9,1
